材木,材木[ざいもく],"lumber, timber",,,
サイレン,サイレン,siren,,,
逆様,逆様[さかさま],"reverse, upside down",,逆さ,
捜[さが]す,捜[][さが]す,"to search, to seek, to look for",,,
遡る,遡[さかのぼ]る,"to go back, to date back; ascend",,,
酒場,酒場[さかば],"bar, bar-room",,,
一昨昨日,一昨昨日[さきおととい],"two days before yesterday, three days ago",,,
先程,先程[さきほど],a little while ago,,,
作者,作者[さくしゃ],"author, artist",,,
作製,作製[さくせい],"manufacture, production",,,
探る,探[さぐ]る,"to search, to look for, investigate",,,
囁く,囁[ささや]く,"to whisper, to murmur",,,
座敷,座敷[ざしき],tatami room,,,
差し支え,差[さしつか]し支え,"hindrance, impediment",,,
差し引き,差[さしひ]し引き,"deduction, balance",,,
(かさを～) さす,(かさを～) さす,to open; hold (an umbrella),,,
流石,流石[さすが],"indeed, truly, as one would expect",,,
雑音,雑音[ざつおん],"noise (jarring, grating)",,,
錆,錆[さび],rust (color),,,
錆びる,錆[さ]びる,"to rust, to become rusty",,,
座布団,座布団[ざぶとん],cushion (Japanese),,,
妨げる,妨[さまた]げる,"to disturb, to prevent",,,
さようなら,さようなら,good-bye,,,
サラリーマン,サラリーマン,salaryman; company employee,,,
さわやか,さわやか,"fresh, refreshing",,,
～山,～山[～さん],the name of mountain,,,
算数,算数[さんすう],arithmetic,,,
産地,産地[さんち],producing area,,,
山林,山林[さんりん],mountain forest,,,
～史,～史[～し],history of ~,,,
～紙,～紙[～し],"newspaper, type of paper",,,
～寺,～寺[～じ],the name of temple,,,
明明後日,明明後日[しあさって],two days after tomorrow,,,
シーツ,シーツ,sheet,,,
寺院,寺院[じいん],temple,,,
しいんと (する),しいんと (する),"silent (as the grave), (deathly) quiet",,,
自衛,自衛[じえい],self-defense,,,
司会,司会[しかい],"host, chairperson",,,
四角い,四角[しかく]い,square,,,
仕方がない,仕方[しかた]がない,"it can't be helped, it's inevitable",,,
～時間目,～時間目[～じかんめ],"~th hour, ~th period",,,
〜(日本) 式,〜(日本) 式[～(にほん) しき],"custom,",,,
敷地,敷地[しきち],site,,,
敷く,敷[し]く,"to spread out, to lay out",,,
茂る,茂[しげ]る,to grow thick,,,
四捨五入,四捨五入[ししゃごにゅう],rounding up (fractions),,,
始終,始終[しじゅう],"continuously, always, constantly",,,
時速,時速[じそく],speed (per hour),,,
死体,死体[したい],corpse,,,
下書き,下書[したが]き,"rough copy, draft",,,
自宅,自宅[じたく],one's own home (same as 自分の家 (じぶんのいえ)),,,
下町,下町[したまち],old parts of town,,,
自治,自治[じち],"self-government, autonomy",,,
室～,室～[しつ～],room,,,
～室,～室[～しつ],counter for room,,,
実感,実感[じっかん],"feelings, realization",,,
湿気,湿気[しっき],"moisture, humidity, dampness",,,
実習,実習[じっしゅう],"practice, training",,,
実績,実績[じっせき],"achievements, actual results",,,
実物,実物[じつぶつ],an actual thing,,,
しっぽ,しっぽ,tail (animal),,,
実用,実用[じつよう],"practical use, utility",,,
しつれいしました (かん),しつれいしました (かん),"Excuse me., I'm sorry.",,,
実例,実例[じつれい],"example, instance",,,
私鉄,私鉄[してつ],private railway,,,
紙幣,紙幣[しへい],"paper money, notes, bills",,,
しぼむ,しぼむ,"to wither, to shrivel",,,
縞,縞[しま],stripe,,,
～おしまい (おわり),～おしまい (おわり),end up ~,,,
氏名,氏名[しめい],full name,,,
締切,締切[しめきり],deadline,,,
締め切る,締[しめき]め切る,"to close, cancel",,,
しめた (かん),しめた (かん),"I've got it, all right, fine",,,
地面,地面[じめん],"ground, earth's surface",,,
～車,～車[～しゃ],~ car,,,
～社,～社[～しゃ],counter for company,,,
蛇口,蛇口[じゃぐち],"faucet, tap",,,
